"","SpeciesBinomial","SourceList"
"26024","Peronia fibula","(17, 19)"
"26025","Semiorbis hemicyclus","(17, 19)"
"26026","Cymbella affinis","(17, 19)"
"26027","Cymbella aspera","(17, 19)"
"26028","Cymbella cf heteropleura","(17, 19)"
"26029","Cymbella cf incerta","(17, 19)"
"26030","Cymbella cf reinhardtii sensu","(17, 19)"
"26031","Cymbella cistula","(17, 19)"
"26032","Cymbella cymbiformis","(17, 19)"
"26033","Cymbella cymbiformis var nonpunctata","(17, 19)"
"26034","Cymbella descripta","(17, 19)"
"26035","Cymbella heteropleura","(17, 19)"
"26036","Cymbella hillardii","(17, 19)"
"26037","Cymbella hustedtii","(17, 19)"
"26038","Cymbella hybrida var lanceolata","(17, 19)"
"26039","Cymbella laevis","(17, 19)"
"26040","Cymbella lanceolata","(17, 19)"
"26041","Cymbella lata","(17, 19)"
"26042","Cymbella mexicana","(17, 19)"
"26043","Cymbella naviculacea","(17, 19)"
"26044","Cymbella proxima","(17, 19)"
"26045","Cymbella rainierensis","(17, 19)"
"26046","Cymbella rupicola","(17, 19)"
"26047","Cymbella schimanskii","(17, 19)"
"26048","Cymbella simonsenii","(17, 19)"
"26049","Cymbella subapiculata","(17, 19)"
"26050","Cymbella tumida","(17, 19)"
"26051","Cymbella turgidula","(17, 19)"
"26052","Cymbella amphioxys","(17, 19)"
"26053","Cymbella incerta var crassipunctata","(17, 19)"
"26054","Cymbella leptoceros","(17, 19)"
"26055","Cymbella sp 1 ans poto","(17, 19)"
"26056","Cymbella acutiuscula","(17, 19)"
"26057","Cymbella reichardtii","(17, 19)"
"26058","Cymbella subturgidula","(17, 19)"
"26059","Cymbella mexicana var kamtschatica","(17, 19)"
"26060","Cymbella tropica","(17, 19)"
"26061","Cymbella schubartoides","(17, 19)"
"26062","Cymbella vulgata","(17, 19)"
"26063","Cymbella affiniformis","(17, 19)"
"26064","Cymbella excisiformis","(17, 19)"
"26065","Cymbella helvetica","(17, 19)"
"26066","Cymbella neocistula","(17, 19)"
"26067","Cymbella neocistula var islandica","(17, 19)"
"26068","Cymbella cuspidata","(17, 19)"
"26069","Cymbella parva","(17, 19)"
"26070","Encyonema brehmii","(17, 19)"
"26071","Encyonema gaeumanii","(17, 19)"
"26072","Encyonema minutum","(17, 19)"
"26073","Encyonema perpussillum","(17, 19)"
"26074","Encyonema prostratum","(17, 19)"
"26075","Encyonema reichardtii","(17, 19)"
"26076","Encyonema silesiacum","(17, 19)"
"26077","Encyonema hebridicum","(17, 19)"
"26078","Encyonema muelleri","(17, 19)"
"26079","Encyonema angustecapitatum","(17, 19)"
"26080","Encyonema auerswaldii","(17, 19)"
"26081","Encyonema latens","(17, 19)"
"26082","Encyonema lunatum","(17, 19)"
"26083","Encyonema triangulum","(17, 19)"
"26084","Encyonema elginense","(17, 19)"
"26085","Encyonema evergladianum","(17, 19)"
"26086","Encyonema mesianum","(17, 19)"
"26087","Encyonema neogracile","(17, 19)"
"26088","Encyonema paucistriatum","(17, 19)"
"26089","Encyonema carina","(17, 19)"
"26090","Encyonema hamsherae","(17, 19)"
"26091","Encyonema leibleinii","(17, 19)"
"26092","Encyonema obscurum","(17, 19)"
"26093","Encyonema ventricosum","(17, 19)"
"26094","Encyonema pergracile","(17, 19)"
"26095","Encyonema langebertalotii","(17, 19)"
"26096","Encyonopsis cesatii","(17, 19)"
"26097","Encyonopsis falaisensis","(17, 19)"
"26098","Encyonopsis microcephala","(17, 19)"
"26099","Encyonopsis minuta","(17, 19)"
"26100","Encyonopsis subminuta","(17, 19)"
"26101","Encyonopsis vandamii","(17, 19)"
"26102","Encyonopsis krammeri","(17, 19)"
"26103","Encyonopsis neoamphioxys","(17, 19)"
"26104","Encyonopsis descripta","(17, 19)"
"26105","Encyonopsis cesatiformis","(17, 19)"
"26106","Encyonopsis neerlandica","(17, 19)"
"26107","Reimeria sinuata","(17, 19)"
"26108","Reimeria uniseriata","(17, 19)"
"26109","Cymbopleura angustata","(17, 19)"
"26110","Cymbopleura cuspidata","(17, 19)"
"26111","Cymbopleura hybrida","(17, 19)"
"26112","Cymbopleura inaequalis","(17, 19)"
"26113","Cymbopleura incerta","(17, 19)"
"26114","Cymbopleura lapponica","(17, 19)"
"26115","Cymbopleura naviculiformis","(17, 19)"
"26116","Cymbopleura subaequalis","(17, 19)"
"26117","Cymbopleura subcuspidata","(17, 19)"
"26118","Cymbopleura sublanceolata","(17, 19)"
"26119","Cymbellafalsa diluviana","(17, 19)"
"26120","Brebissonia lanceolata","(17, 19)"
"26121","Epithemia adnata","(17, 19)"
"26122","Epithemia argus","(17, 19)"
"26123","Epithemia goeppertiana","(17, 19)"
"26124","Epithemia sorex","(17, 19)"
"26125","Epithemia turgida","(17, 19)"
"26126","Epithemia turgida var westermannii","(17, 19)"
"26127","Rhopalodia gibba","(17, 19)"
"26128","Rhopalodia acuminata","(17, 19)"
"26129","Rhopalodia brebissonii","(17, 19)"
"26130","Rhopalodia operculata","(17, 19)"
"26131","Amphora aequalis","(17, 19)"
"26132","Amphora copulata","(17, 19)"
"26133","Amphora inariensis","(17, 19)"
"26134","Amphora ovalis","(17, 19)"
"26135","Amphora pediculus","(17, 19)"
"26136","Amphora libyca","(17, 19)"
"26137","Halamphora montana","(17, 19)"
"26138","Halamphora normanii","(17, 19)"
"26139","Halamphora thumensis","(17, 19)"
"26140","Halamphora veneta","(17, 19)"
"26141","Halamphora coffeaeformis","(17, 19)"
"26142","Gomphoneis herculeana","(17, 19)"
"26143","Gomphoneis pseudookunoi","(17, 19)"
"26144","Gomphonema acuminatum","(17, 19)"
"26145","Gomphonema coronatum","(17, 19)"
"26146","Gomphonema acutiusculum","(17, 19)"
"26147","Gomphonema affine","(17, 19)"
"26148","Gomphonema americobtusatum","(17, 19)"
"26149","Gomphonema angustatum","(17, 19)"
"26150","Gomphonema angustum","(17, 19)"
"26151","Gomphonema apuncto","(17, 19)"
"26152","Gomphonema augur","(17, 19)"
"26153","Gomphonema augur var turris","(17, 19)"
"26154","Gomphonema bavaricum","(17, 19)"
"26155","Gomphonema bohemicum","(17, 19)"
"26156","Gomphonema cf bourbonense","(17, 19)"
"26157","Gomphonema cf minisculum","(17, 19)"
"26158","Gomphonema clavatum","(17, 19)"
"26159","Gomphonema clevei","(17, 19)"
"26160","Gomphonema dichotomum","(17, 19)"
"26161","Gomphonema drutelingense","(17, 19)"
"26162","Gomphonema entolejum","(17, 19)"
"26163","Gomphonema gracile","(17, 19)"
"26164","Gomphonema hebridense","(17, 19)"
"26165","Gomphonema innocens","(17, 19)"
"26166","Gomphonema insigne","(17, 19)"
"26167","Gomphonema kobayasii","(17, 19)"
"26168","Gomphonema manubrium","(17, 19)"
"26169","Gomphonema mexicanum","(17, 19)"
"26170","Gomphonema micropus","(17, 19)"
"26171","Gomphonema minutum","(17, 19)"
"26172","Gomphonema olivaceoides","(17, 19)"
"26173","Gomphonema olivaceum","(17, 19)"
"26174","Gomphonema parvulius","(17, 19)"
"26175","Gomphonema parvulum","(17, 19)"
"26176","Gomphonema patrickiae","(17, 19)"
"26177","Gomphonema pseudoaugur","(17, 19)"
"26178","Gomphonema pseudotenellum","(17, 19)"
"26179","Gomphonema pumilum","(17, 19)"
"26180","Gomphonema pumilum var elegans","(17, 19)"
"26181","Gomphonema reimeri","(17, 19)"
"26182","Gomphonema rhombicum","(17, 19)"
"26183","Gomphonema sarcophagus","(17, 19)"
"26184","Gomphonema sphaerophorum","(17, 19)"
"26185","Gomphonema subclavatum","(17, 19)"
"26186","Gomphonema subtile","(17, 19)"
"26187","Gomphonema truncatum","(17, 19)"
"26188","Gomphonema ventricosum","(17, 19)"
"26189","Gomphonema amoenum","(17, 19)"
"26190","Gomphonema minutum fo syriacum","(17, 19)"
"26191","Gomphonema cf parvulum meslap2","(17, 19)"
"26192","Gomphonema cf parvulum meslap3","(17, 19)"
"26193","Gomphonema cf parvulum meslap4","(17, 19)"
"26194","Gomphonema meslap1","(17, 19)"
"26195","Gomphonema meslap3","(17, 19)"
"26196","Gomphonema procerum","(17, 19)"
"26197","Gomphonema longilineare","(17, 19)"
"26198","Gomphonema exilissimum","(17, 19)"
"26199","Gomphonema intricatum","(17, 19)"
"26200","Gomphonema lagenula","(17, 19)"
"26201","Gomphonema minusculum","(17, 19)"
"26202","Gomphonema olivaceoides var hutchinsoniana","(17, 19)"
"26203","Gomphonema productum","(17, 19)"
"26204","Gomphonema pumilum var rigidum","(17, 19)"
"26205","Gomphonema pygmaeum","(17, 19)"
"26206","Gomphonema sp 1 me eam","(17, 19)"
"26207","Gomphonema sp 2 ans new jersey kcp","(17, 19)"
"26208","Gomphonema sp 26 nawqa eam","(17, 19)"
"26209","Gomphonema sp 32 nawqa eam","(17, 19)"
"26210","Gomphonema capitatum","(17, 19)"
"26211","Gomphonema turris","(17, 19)"
"26212","Gomphonema aff minutum ans nawqa eam","(17, 19)"
"26213","Gomphonema intricatum var vibrio","(17, 19)"
"26214","Gomphonema italicum","(17, 19)"
"26215","Gomphonema punctata","(17, 19)"
"26216","Gomphonema variostriatum","(17, 19)"
"26217","Gomphonema angustatum var obtusatum","(17, 19)"
"26218","Gomphonema carolinense","(17, 19)"
"26219","Gomphonema montanum","(17, 19)"
"26220","Gomphonema sp 24 nawqa eam","(17, 19)"
"26221","Gomphonema parvulum fo saprophilum","(17, 19)"
"26222","Gomphonema brebissonii","(17, 19)"
"26223","Gomphonema cathedralis","(17, 19)"
"26224","Gomphonema puiggarianum var aequatorialis","(17, 19)"
"26225","Gomphonema sp 1 new mexico hamsher","(17, 19)"
"26226","Gomphonema sp 16 savannah eam","(17, 19)"
"26227","Gomphonema sp 21 nawqa mp","(17, 19)"
"26228","Gomphonema sp 22 nawqa mp","(17, 19)"
"26229","Gomphonema sp 9 nawqa eam","(17, 19)"
"26230","Gomphonema vibrioides","(17, 19)"
"26231","Gomphonema cf brasiliense nawqa albe","(17, 19)"
"26232","Gomphonema cf coronatum eam","(17, 19)"
"26233","Gomphonema sp 20 nawqa mp","(17, 19)"
"26234","Gomphonema turgidum","(17, 19)"
"26235","Gomphonema parallelistriatum","(17, 19)"
"26236","Gomphonema subclavatum var commutum","(17, 19)"
"26237","Gomphonema pala","(17, 19)"
"26238","Gomphonema tumidum","(17, 19)"
"26239","Gomphonema cymbelliclinum","(17, 19)"
"26240","Gomphonema maclaughlinii","(17, 19)"
"26241","Gomphonema caperatum","(17, 19)"
"26242","Gomphonema incognitum","(17, 19)"
"26243","Gomphonema calcifugum","(17, 19)"
"26244","Gomphonema graciledictum","(17, 19)"
"26245","Gomphonema helveticum","(17, 19)"
"26246","Gomphonema utae","(17, 19)"
"26247","Gomphonema christenseni","(17, 19)"
"26248","Gomphonema anglicum","(17, 19)"
"26249","Gomphonema auritum","(17, 19)"
"26250","Gomphonema campodunense","(17, 19)"
"26251","Gomphonema pusillum","(17, 19)"
"26252","Delicata delicatula","(17, 19)"
"26253","Delicata montana","(17, 19)"
"26254","Adlafia bryophila","(17, 19)"
"26255","Adlafia minuscula","(17, 19)"
"26256","Adlafia minuscula var muralis","(17, 19)"
"26257","Adlafia suchlandtii","(17, 19)"
"26258","Adlafia multnomahii","(17, 19)"
"26259","Adlafia aquaeductae","(17, 19)"
"26260","Amphipleura pellucida","(17, 19)"
"26261","Aneumastus apiculatus","(17, 19)"
"26262","Aneumastus tuscula","(17, 19)"
"26263","Aneumastus carolinianus","(17, 19)"
"26264","Brachysira garrensis","(17, 19)"
"26265","Brachysira microcephala","(17, 19)"
"26266","Brachysira brebissonii","(17, 19)"
"26267","Brachysira follis","(17, 19)"
"26268","Brachysira serians","(17, 19)"
"26269","Brachysira vitrea","(17, 19)"
"26270","Brachysira procera","(17, 19)"
"26271","Brachysira styriaca","(17, 19)"
"26272","Brachysira ocalanensis","(17, 19)"
"26273","Brachysira neoexilis","(17, 19)"
"26274","Caloneis alpestris","(17, 19)"
"26275","Caloneis bacillum","(17, 19)"
"26276","Caloneis hyalina","(17, 19)"
"26277","Caloneis lauta","(17, 19)"
"26278","Caloneis molaris","(17, 19)"
"26279","Caloneis permagna","(17, 19)"
"26280","Caloneis schumanniana","(17, 19)"
"26281","Caloneis silicula","(17, 19)"
"26282","Caloneis tenuis","(17, 19)"
"26283","Caloneis thermalis","(17, 19)"
"26284","Caloneis undulata","(17, 19)"
"26285","Caloneis westii","(17, 19)"
"26286","Caloneis macedonica","(17, 19)"
"26287","Caloneis schumanniana var biconstricta","(17, 19)"
"26288","Caloneis amphisbaena","(17, 19)"
"26289","Caloneis limosa","(17, 19)"
"26290","Cavinula cocconeiformis","(17, 19)"
"26291","Cavinula jaernefeltii","(17, 19)"
"26292","Cavinula lacustris","(17, 19)"
"26293","Cavinula lapidosa","(17, 19)"
"26294","Cavinula pseudoscutiformis","(17, 19)"
"26295","Cavinula variostriata","(17, 19)"
"26296","Cavinula scutiformis","(17, 19)"
"26297","Cavinula scutelloides","(17, 19)"
"26298","Cavinula weinzierlii","(17, 19)"
"26299","Cavinula vincentii","(17, 19)"
"26300","Chamaepinnularia begeri","(17, 19)"
"26301","Chamaepinnularia bremensis","(17, 19)"
"26302","Chamaepinnularia mediocris","(17, 19)"
"26303","Chamaepinnularia soehrensis","(17, 19)"
"26304","Chamaepinnularia soehrensis var hassiaca","(17, 19)"
"26305","Chamaepinnularia musicola","(17, 19)"
"26306","Chamaepinnularia evanida","(17, 19)"
"26307","Chamaepinnularia gandrupii","(17, 19)"
"26308","Chamaepinnularia krookii","(17, 19)"
"26309","Chamaepinnularia hassiaca","(17, 19)"
"26310","Craticula accomoda","(17, 19)"
"26311","Craticula ambigua","(17, 19)"
"26312","Craticula cuspidata","(17, 19)"
"26313","Craticula halophila","(17, 19)"
"26314","Craticula halophiliodes","(17, 19)"
"26315","Craticula molestiformis","(17, 19)"
"26316","Craticula submolesta","(17, 19)"
"26317","Craticula sp 1 jws maine","(17, 19)"
"26318","Craticula accomodiformis","(17, 19)"
"26319","Craticula minusculoides","(17, 19)"
"26320","Craticula buderi","(17, 19)"
"26321","Craticula subminuscula","(17, 19)"
"26322","Decussata placenta","(17, 19)"
"26323","Diadesmis confervacea","(17, 19)"
"26324","Diadesmis contenta","(17, 19)"
"26325","Diadesmis laevissima","(17, 19)"
"26326","Diadesmis perpusilla","(17, 19)"
"26327","Diadesmis gallica","(17, 19)"
"26328","Diploneis boldtiana","(17, 19)"
"26329","Diploneis finnica","(17, 19)"
"26330","Diploneis marginestriata","(17, 19)"
"26331","Diploneis oblongella","(17, 19)"
"26332","Diploneis ovalis","(17, 19)"
"26333","Diploneis parma","(17, 19)"
"26334","Diploneis puella","(17, 19)"
"26335","Diploneis subovalis","(17, 19)"
"26336","Diploneis smithii","(17, 19)"
"26337","Diploneis pseudovalis","(17, 19)"
"26338","Diploneis peterseni","(17, 19)"
"26339","Diploneis oculata","(17, 19)"
"26340","Fallacia indifferens","(17, 19)"
"26341","Fallacia lenzii","(17, 19)"
"26342","Fallacia monoculata","(17, 19)"
"26343","Fallacia omissa","(17, 19)"
"26344","Fallacia subhamulata","(17, 19)"
"26345","Fallacia tenera","(17, 19)"
"26346","Fallacia pygmaea","(17, 19)"
"26347","Fallacia fracta","(17, 19)"
"26348","Fallacia helensis","(17, 19)"
"26349","Fallacia maceria","(17, 19)"
"26350","Frustulia amphipleuroides","(17, 19)"
"26351","Frustulia crassinervia","(17, 19)"
"26352","Frustulia krammeri","(17, 19)"
"26353","Frustulia rhomboides var capitata","(17, 19)"
"26354","Frustulia saxonica","(17, 19)"
"26355","Frustulia viridula","(17, 19)"
"26356","Frustulia weinholdii","(17, 19)"
"26357","Frustulia erifuga","(17, 19)"
"26358","Frustulia pseudomagaliesmontana","(17, 19)"
"26359","Frustulia inculta","(17, 19)"
"26360","Frustulia quadrisinuata","(17, 19)"
"26361","Geissleria acceptata","(17, 19)"
"26362","Geissleria decussis","(17, 19)"
"26363","Geissleria paludosa","(17, 19)"
"26364","Geissleria schoenfeldii","(17, 19)"
"26365","Geissleria thingvallae","(17, 19)"
"26366","Geissleria kriegeri","(17, 19)"
"26367","Geissleria punctifera","(17, 19)"
"26368","Geissleria lateropunctata","(17, 19)"
"26369","Geissleria similis","(17, 19)"
"26370","Gyrosigma acuminatum","(17, 19)"
"26371","Gyrosigma obtusatum","(17, 19)"
"26372","Gyrosigma spencerii","(17, 19)"
"26373","Gyrosigma reimeri","(17, 19)"
"26374","Gyrosigma strigilis","(17, 19)"
"26375","Gyrosigma attenuatum","(17, 19)"
"26376","Hippodonta capitata","(17, 19)"
"26377","Hippodonta costulata","(17, 19)"
"26378","Hippodonta lesmonensis","(17, 19)"
"26379","Hippodonta hungarica","(17, 19)"
"26380","Hippodonta lueneburgensis","(17, 19)"
"26381","Hippodonta pseudacceptata","(17, 19)"
"26382","Kobayasiella subtilissima","(17, 19)"
"26383","Kobayasiella jaagii","(17, 19)"
"26384","Luticola mutica","(17, 19)"
"26385","Luticola cohnii","(17, 19)"
"26386","Luticola goeppertiana","(17, 19)"
"26387","Luticola ventricosa","(17, 19)"
"26388","Luticola muticoides","(17, 19)"
"26389","Luticola mobiliensis","(17, 19)"
"26390","Mastogloia smithii","(17, 19)"
"26391","Mastogloia smithii var lacustris","(17, 19)"
"26392","Mastogloia elliptica","(17, 19)"
"26393","Mayamaea agrestis","(17, 19)"
"26394","Mayamaea atomus","(17, 19)"
"26395","Mayamaea permitis","(17, 19)"
"26396","Mayamaea asellus","(17, 19)"
"26397","Microcostatus cf andinus","(17, 19)"
"26398","Microcostatus kuelbsii","(17, 19)"
"26399","Microcostatus krasskei","(17, 19)"
"26400","Navicula wildii","(17, 19)"
"26401","Navicula angusta","(17, 19)"
"26402","Navicula antonii","(17, 19)"
"26403","Navicula aquaedurae","(17, 19)"
"26404","Navicula arkona","(17, 19)"
"26405","Navicula arvensis fo major","(17, 19)"
"26406","Navicula bahusiensis","(17, 19)"
"26407","Navicula bicephala","(17, 19)"
"26408","Navicula canalis","(17, 19)"
"26409","Navicula capitatoradiata","(17, 19)"
"26410","Navicula cari","(17, 19)"
"26411","Navicula cf elorantana","(17, 19)"
"26412","Navicula cf krasskei","(17, 19)"
"26413","Navicula cf lundii","(17, 19)"
"26414","Navicula cf microcari","(17, 19)"
"26415","Navicula cf pseudolanceolata","(17, 19)"
"26416","Navicula cf utermoehlii","(17, 19)"
"26417","Navicula cf vaneei","(17, 19)"
"26418","Navicula cf venerablis","(17, 19)"
"26419","Navicula cincta var minuta","(17, 19)"
"26420","Navicula concentrica","(17, 19)"
"26421","Navicula constans","(17, 19)"
"26422","Navicula cryptocephala","(17, 19)"
"26423","Navicula cryptotenella","(17, 19)"
"26424","Navicula cryptotenelloides","(17, 19)"
"26425","Navicula denselineolata","(17, 19)"
"26426","Navicula detenta","(17, 19)"
"26427","Navicula difficillima","(17, 19)"
"26428","Navicula digitoradiata","(17, 19)"
"26429","Navicula erifuga","(17, 19)"
"26430","Navicula festiva","(17, 19)"
"26431","Navicula fluens","(17, 19)"
"26432","Navicula gregaria","(17, 19)"
"26433","Navicula gysingensis","(17, 19)"
"26434","Navicula harderii","(17, 19)"
"26435","Navicula hasta","(17, 19)"
"26436","Navicula hintzii","(17, 19)"
"26437","Navicula kotschyi","(17, 19)"
"26438","Navicula laevissima var perhibita","(17, 19)"
"26439","Navicula lanceolata","(17, 19)"
"26440","Navicula laterostrata","(17, 19)"
"26441","Navicula leistikowii","(17, 19)"
"26442","Navicula leptostriata","(17, 19)"
"26443","Navicula libonensis","(17, 19)"
"26444","Navicula longicephala","(17, 19)"
"26445","Navicula ludloviana","(17, 19)"
"26446","Navicula medioconvexa","(17, 19)"
"26447","Navicula menisculus","(17, 19)"
"26448","Navicula meniscus","(17, 19)"
"26449","Navicula modica","(17, 19)"
"26450","Navicula mutica var ventricosa","(17, 19)"
"26451","Navicula notha","(17, 19)"
"26452","Navicula obsoleta","(17, 19)"
"26453","Navicula oppugnata","(17, 19)"
"26454","Navicula parablis","(17, 19)"
"26455","Navicula paramutica var binodis","(17, 19)"
"26456","Navicula phyllepta","(17, 19)"
"26457","Navicula porifera","(17, 19)"
"26458","Navicula praeterita","(17, 19)"
"26459","Navicula pseudobryophila","(17, 19)"
"26460","Navicula pseudolanceolata","(17, 19)"
"26461","Navicula radiosa","(17, 19)"
"26462","Navicula radiosafallax","(17, 19)"
"26463","Navicula rakowskae","(17, 19)"
"26464","Navicula recens","(17, 19)"
"26465","Navicula reichardtiana","(17, 19)"
"26466","Navicula reinhardtii","(17, 19)"
"26467","Navicula rhynchocephala","(17, 19)"
"26468","Navicula rostellata","(17, 19)"
"26469","Navicula rotunda","(17, 19)"
"26470","Navicula salinarum","(17, 19)"
"26471","Navicula saxophila","(17, 19)"
"26472","Navicula escambia","(17, 19)"
"26473","Navicula subcostulata","(17, 19)"
"26474","Navicula sublucidula","(17, 19)"
"26475","Navicula submuralis","(17, 19)"
"26476","Navicula subrhyncocephala","(17, 19)"
"26477","Navicula subrotundata","(17, 19)"
"26478","Navicula tenelloides","(17, 19)"
"26479","Navicula trivialis","(17, 19)"
"26480","Navicula upsaliensis","(17, 19)"
"26481","Navicula utermoehlii","(17, 19)"
"26482","Navicula vaucheriae","(17, 19)"
"26483","Navicula veneta","(17, 19)"
"26484","Navicula viridula","(17, 19)"
"26485","Navicula viridulacalcis","(17, 19)"
"26486","Navicula vitiosa","(17, 19)"
"26487","Navicula cincta","(17, 19)"
"26488","Navicula cryptofallax","(17, 19)"
"26489","Navicula digitulus","(17, 19)"
"26490","Navicula expecta","(17, 19)"
"26491","Navicula eidringiana","(17, 19)"
"26492","Navicula germainii","(17, 19)"
"26493","Navicula ingrata","(17, 19)"
"26494","Navicula incertata","(17, 19)"
"26495","Navicula impexa","(17, 19)"
"26496","Navicula lucinensis","(17, 19)"
"26497","Navicula pseudoarvensis","(17, 19)"
"26498","Navicula stankovicii","(17, 19)"
"26499","Navicula peregrinopsis","(17, 19)"
"26500","Navicula aboensis","(17, 19)"
"26501","Navicula caterva","(17, 19)"
"26502","Navicula cf kriegerii nawqa km","(17, 19)"
"26503","Navicula exilis","(17, 19)"
"26504","Navicula globulifera","(17, 19)"
"26505","Navicula hambergii","(17, 19)"
"26506","Navicula ingenua","(17, 19)"
"26507","Navicula lundii","(17, 19)"
"26508","Navicula oblonga","(17, 19)"
"26509","Navicula occulta","(17, 19)"
"26510","Navicula riediana","(17, 19)"
"26511","Navicula ruttnerii var capitata","(17, 19)"
"26512","Navicula schroeterii","(17, 19)"
"26513","Navicula sp 1","(17, 19)"
"26514","Navicula sp 3 nawqa mp","(17, 19)"
"26515","Navicula symmetrica","(17, 19)"
"26516","Navicula vilaplanii","(17, 19)"
"26517","Navicula latelongitudinalis","(17, 19)"
"26518","Navicula aff subminuscula ans nawqua eam","(17, 19)"
"26519","Navicula sp 1 maine sjm","(17, 19)"
"26520","Navicula sp 2 montana hagan","(17, 19)"
"26521","Navicula sp 28 nawqa eam","(17, 19)"
"26522","Navicula vaneei","(17, 19)"
"26523","Navicula witkowskii","(17, 19)"
"26524","Navicula amphiceropsis","(17, 19)"
"26525","Navicula luciae","(17, 19)"
"26526","Navicula vulpina","(17, 19)"
"26527","Navicula difficillimoides","(17, 19)"
"26528","Navicula namibica","(17, 19)"
"26529","Navicula margalithii","(17, 19)"
"26530","Navicula cryptocephaloides","(17, 19)"
"26531","Navicula schweigeri","(17, 19)"
"26532","Navicula seibigiana","(17, 19)"
"26533","Navicula staffordiae","(17, 19)"
"26534","Navicula viridulacalcis var neomundana","(17, 19)"
"26535","Navicula moskalii","(17, 19)"
"26536","Navicula wiesneri","(17, 19)"
"26537","Navicula phylleptosoma","(17, 19)"
"26538","Navicula flatheadensis","(17, 19)"
"26539","Neidium affine","(17, 19)"
"26540","Neidium affine var longiceps","(17, 19)"
"26541","Neidium alpinum","(17, 19)"
"26542","Neidium ampliatum","(17, 19)"
"26543","Neidium apiculatum","(17, 19)"
"26544","Neidium bisulcatum","(17, 19)"
"26545","Neidium cf hercynicum","(17, 19)"
"26546","Neidium hercynicum","(17, 19)"
"26547","Neidium hitchcockii","(17, 19)"
"26548","Neidium iridis","(17, 19)"
"26549","Neidium productum","(17, 19)"
"26550","Neidium sacoense","(17, 19)"
"26551","Neidium densestriatum","(17, 19)"
"26552","Neidium dubium fo constrictum","(17, 19)"
"26553","Neidium binodis","(17, 19)"
"26554","Neidium dubium","(17, 19)"
"26555","Neidium sp 1 me eam","(17, 19)"
"26556","Nupela lapidosa","(17, 19)"
"26557","Nupela impexiformis","(17, 19)"
"26558","Nupela silvahercynia","(17, 19)"
"26559","Nupela vitiosa","(17, 19)"
"26560","Nupela meslap1","(17, 19)"
"26561","Nupela sp 1 ans new jersey kcp","(17, 19)"
"26562","Nupela wellneri","(17, 19)"
"26563","Nupela neglecta","(17, 19)"
"26564","Nupela carolina","(17, 19)"
"26565","Nupela sp 1 idaho she","(17, 19)"
"26566","Nupela fennica","(17, 19)"
"26567","Nupela frezelii","(17, 19)"
"26568","Nupela subrostrata","(17, 19)"
"26569","Nupela elegantula","(17, 19)"
"26570","Parlibellus protractoides","(17, 19)"
"26571","Pinnularia abaujensis","(17, 19)"
"26572","Pinnularia abaujensis var subundulata","(17, 19)"
"26573","Pinnularia appendiculata","(17, 19)"
"26574","Pinnularia biceps","(17, 19)"
"26575","Pinnularia borealis var rectangularis","(17, 19)"
"26576","Pinnularia brevicostata","(17, 19)"
"26577","Pinnularia cf biceps v pusilla","(17, 19)"
"26578","Pinnularia cf ignobilis","(17, 19)"
"26579","Pinnularia perirrorata","(17, 19)"
"26580","Pinnularia divergens","(17, 19)"
"26581","Pinnularia divergentissima","(17, 19)"
"26582","Pinnularia formica","(17, 19)"
"26583","Pinnularia gibba","(17, 19)"
"26584","Pinnularia gibba var linearis","(17, 19)"
"26585","Pinnularia ignobilis","(17, 19)"
"26586","Pinnularia interrupta","(17, 19)"
"26587","Pinnularia kneuckerii","(17, 19)"
"26588","Pinnularia kuetzingii","(17, 19)"
"26589","Pinnularia lapponica","(17, 19)"
"26590","Pinnularia legumen","(17, 19)"
"26591","Pinnularia lundii","(17, 19)"
"26592","Pinnularia macilenta","(17, 19)"
"26593","Pinnularia maior","(17, 19)"
"26594","Pinnularia microstauron","(17, 19)"
"26595","Pinnularia nobilis","(17, 19)"
"26596","Pinnularia nodosa","(17, 19)"
"26597","Pinnularia obscura","(17, 19)"
"26598","Pinnularia pogoii","(17, 19)"
"26599","Pinnularia polyonca","(17, 19)"
"26600","Pinnularia pulchra","(17, 19)"
"26601","Pinnularia pulchra var angusta","(17, 19)"
"26602","Pinnularia rupestris","(17, 19)"
"26603","Pinnularia schwabei","(17, 19)"
"26604","Pinnularia stomatophora","(17, 19)"
"26605","Pinnularia subcapitata","(17, 19)"
"26606","Pinnularia subrostrata","(17, 19)"
"26607","Pinnularia subrupestris","(17, 19)"
"26608","Pinnularia sudetica","(17, 19)"
"26609","Pinnularia undulata","(17, 19)"
"26610","Pinnularia viridis","(17, 19)"
"26611","Pinnularia mesolepta var angusta","(17, 19)"
"26612","Pinnularia schroederii","(17, 19)"
"26613","Pinnularia acidophila","(17, 19)"
"26614","Pinnularia biceps fo petersenii","(17, 19)"
"26615","Pinnularia brebissonii","(17, 19)"
"26616","Pinnularia intermedia","(17, 19)"
"26617","Pinnularia mesogongyla","(17, 19)"
"26618","Pinnularia wisconsinensis","(17, 19)"
"26619","Pinnularia sp 1 me eam","(17, 19)"
"26620","Pinnularia cf bertrandii var angustefasciata","(17, 19)"
"26621","Pinnularia brauniana","(17, 19)"
"26622","Pinnularia perinterrupta","(17, 19)"
"26623","Pinnularia gibbiformis","(17, 19)"
"26624","Pinnularia alpina","(17, 19)"
"26625","Pinnularia braunii var amphicephala","(17, 19)"
